Total Trading Days,Total Trades,RiskToReward,Base SL,Capital,Total Wins,Total Losses,Win Ratio,Total Profit,Grow Profit %,Max Win,Max Win Score,Max Loss,Max Loss Score,CE Trades,PE Trades,Stategy Name
509,800,1:4,100,112699.83000000026,215,585,26.88%,12699.83,11.27%,1617.5,111584.8,-923.7,-98884.97,29.95%,23.03%,Inside Candle
569,1001,1:2,100,119703.92000000043,403,598,40.26%,19703.92,16.46%,1617.5,119805.91,-962.3,-100101.99,42.11%,37.82%,Inside Candle
