Day_Open,Day_High,Day_Low,Day_Close,Day_SuperTrend,Day_Candle,Day_CandleBody,Day_5EMA,Day_15EMA,Day_20EMA,Day_50EMA,Day_200EMA,Day_RSI,Day_upper_shadow_pr,Day_lower_shadow_pr,Day_Candle_Signal,Day_Date,Day_SwingMin,Day_SwingMax,Datetime,Open,High,Low,Close,Pivot,Candle,CandleBody,5EMA,15EMA,20EMA,50EMA,200EMA,RSI,SuperTrend,upper_shadow_pr,lower_shadow_pr,Candle_Signal,Small_Swing_Min,Small_Swing_Max
17890.6,17945.6,17688.5,17764.8,-1,Red,257.09999999999854,17910.6873212808,17964.808526747795,17961.703975092412,17713.672389866442,16286.631570764719,32.67765762699146,41.888804265042126,58.111195734957874,Neutral,2021-11-18,17613.1,18604.4,2021-11-18 05:30:00,17890.6,17945.6,17688.5,17764.8,17799.63333333333,Red,257.09999999999854,17910.6873212808,17964.808526747795,17961.703975092412,17713.672389866442,16286.631570764719,32.67765762699146,-1,41.888804265042126,58.111195734957874,Neutral,17688.5,22794.7
17796.2,17805.2,17280.4,17416.6,-1,Red,524.7999999999993,17745.991547520534,17896.28246090432,17909.789310797896,17702.02249222462,16297.875037722284,19.99787586871176,6.198347107438141,93.80165289256186,Bullish,2021-11-22,17280.4,18604.4,2021-11-22 05:30:00,17796.2,17805.2,17280.4,17416.6,17500.733333333334,Red,524.7999999999993,17745.991547520534,17896.28246090432,17909.789310797896,17702.02249222462,16297.875037722284,19.99787586871176,-1,6.198347107438141,93.80165289256186,Bullish,17280.4,22794.7
17281.8,17553.7,17216.1,17503.3,-1,Green,337.6000000000022,17665.09436501369,17847.15965329128,17871.076043102858,17694.229453313852,16309.869315953903,28.30963979295356,43.410852713178734,56.58914728682127,Neutral,2021-11-23,17216.1,18604.4,2021-11-23 05:30:00,17281.8,17553.7,17216.1,17503.3,17424.36666666667,Green,337.6000000000022,17665.09436501369,17847.15965329128,17871.076043102858,17694.229453313852,16309.869315953903,28.30963979295356,-1,43.410852713178734,56.58914728682127,Neutral,17216.1,22794.7
17550.1,17600.6,17354.0,17415.1,-1,Red,246.59999999999854,17581.76291000913,17793.15219662987,17827.64975328354,17683.28320024272,16320.866636193168,25.123254342567364,45.250896057348264,54.74910394265174,Neutral,2021-11-24,17216.1,18604.4,2021-11-24 05:30:00,17550.1,17600.6,17354.0,17415.1,17456.566666666666,Red,246.59999999999854,17581.76291000913,17793.15219662987,17827.64975328354,17683.28320024272,16320.866636193168,25.123254342567364,-1,45.250896057348264,54.74910394265174,Neutral,17216.1,22794.7
17417.3,17564.3,17351.7,17536.2,-1,Green,212.59999999999854,17566.57527333942,17761.03317205114,17799.892633923202,17677.51523160575,16332.959505484778,36.836720834119994,29.98932764140813,70.01067235859188,Bullish,2021-11-25,17216.1,18604.4,2021-11-25 05:30:00,17417.3,17564.3,17351.7,17536.2,17484.066666666666,Green,212.59999999999854,17566.57527333942,17761.03317205114,17799.892633923202,17677.51523160575,16332.959505484778,36.836720834119994,-1,29.98932764140813,70.01067235859188,Bullish,17216.1,22794.7
17338.8,17355.4,16985.7,17026.4,-1,Red,369.7000000000007,17386.51684889295,17669.204025544746,17726.226668787658,17651.981300954543,16339.85941090284,20.576071726703006,28.97033158813497,71.02966841186503,Bullish,2021-11-26,16985.7,18604.4,2021-11-26 05:30:00,17338.8,17355.4,16985.7,17026.4,17122.500000000004,Red,369.7000000000007,17386.51684889295,17669.204025544746,17726.226668787658,17651.981300954543,16339.85941090284,20.576071726703006,-1,28.97033158813497,71.02966841186503,Bullish,16985.7,22794.7
17055.8,17160.7,16782.4,17053.9,-1,Red,378.2999999999993,17275.644565928633,17592.291022351652,17662.195557474548,17628.52713228966,16346.964292386394,22.78248491982768,27.869287991498688,72.13071200850132,Bullish,2021-11-29,16782.4,18604.4,2021-11-29 05:30:00,17055.8,17160.7,16782.4,17053.9,16999.000000000004,Red,378.2999999999993,17275.644565928633,17592.291022351652,17662.195557474548,17628.52713228966,16346.964292386394,22.78248491982768,-1,27.869287991498688,72.13071200850132,Bullish,16782.4,22794.7
17051.2,17324.7,16931.4,16983.2,-1,Red,393.2999999999993,17178.163043952423,17516.154644557697,17597.529313905543,17603.220185925362,16353.29499594474,20.984057497681334,84.07623731939766,15.923762680602332,Bearish,2021-11-30,16782.4,18604.4,2021-11-30 05:30:00,17051.2,17324.7,16931.4,16983.2,17079.766666666666,Red,393.2999999999993,17178.163043952423,17516.154644557697,17597.529313905543,17603.220185925362,16353.29499594474,20.984057497681334,-1,84.07623731939766,15.923762680602332,Bearish,16782.4,22794.7
17104.4,17213.1,17064.2,17166.9,-1,Green,148.89999999999782,17174.408695968283,17472.497813987986,17556.51699829549,17586.10959039888,16361.390568124394,36.59088138343027,53.4722222222202,46.5277777777798,Neutral,2021-12-01,16782.4,18604.4,2021-12-01 05:30:00,17104.4,17213.1,17064.2,17166.9,17148.06666666667,Green,148.89999999999782,17174.408695968283,17472.497813987986,17556.51699829549,17586.10959039888,16361.390568124394,36.59088138343027,-1,53.4722222222202,46.5277777777798,Neutral,16782.4,22794.7
17183.2,17420.3,17149.3,17401.7,-1,Green,271.0,17250.172463978855,17463.64808723949,17541.772522267347,17578.877841755788,16371.741905754998,51.33416360342558,35.42857142856866,64.57142857143134,Neutral,2021-12-02,16782.4,18604.4,2021-12-02 05:30:00,17183.2,17420.3,17149.3,17401.7,17323.766666666666,Green,271.0,17250.172463978855,17463.64808723949,17541.772522267347,17578.877841755788,16371.741905754998,51.33416360342558,-1,35.42857142856866,64.57142857143134,Neutral,16782.4,22794.7
